INFO:root:

 PROGRAM EXECUTION START 


INFO:root:Writer waited 0.23556303977966309 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 3.218650817871094e-05 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.05865979194641113 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 4.887580871582031e-05 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.00021505355834960938 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.08965873718261719 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.016649246215820312 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.017633676528930664 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.01746201515197754 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.016826868057250977 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.0007259845733642578 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.14861011505126953 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.0003383159637451172 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.0004363059997558594 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.0003802776336669922 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.3208959102630615 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.08824300765991211 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 2.9325485229492188e-05 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.5148921012878418 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.054605960845947266 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.4393301010131836 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 3.0994415283203125e-05 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.00010180473327636719 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.00030112266540527344 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.10149383544921875 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.18983197212219238 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 2.9087066650390625e-05 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.32818007469177246 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 3.600120544433594e-05 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.0002090930938720703 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.22191095352172852 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 3.409385681152344e-05 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.03370404243469238 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.15304279327392578 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.03386378288269043 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.16661572456359863 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 2.8848648071289062e-05 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.16301703453063965 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.3176870346069336 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 3.0040740966796875e-05 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.11356306076049805 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 3.719329833984375e-05 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.00013184547424316406 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.00010514259338378906 seconds for acquiring lock, locked memory block B
